,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue id
72,"3001, Bern",46.946999999999996,7.4404,Kitchener Boutique,46.94964111213475,7.442350458181466,Boutique,4bb7333eef159c742de476f7
73,"3001, Bern",46.946999999999996,7.4404,Cigar Lounge,46.94894622271022,7.440836668822584,Lounge,4ea6a4ef29c2c61b450c5f07
74,"3001, Bern",46.946999999999996,7.4404,Kunstmuseum Bern,46.95098159124874,7.443120671571601,Art Museum,4b4c5125f964a520dfb026e3
75,"3001, Bern",46.946999999999996,7.4404,Unterem Baldachin,46.94767534915316,7.440381946823429,Monument / Landmark,4cb0cbb7aef16dcbcd34b454
76,"3001, Bern",46.946999999999996,7.4404,Lorenzini,46.94767334045155,7.448069638633977,Bar,4b7ed6baf964a520540330e3
77,"3001, Bern",46.946999999999996,7.4404,Schwellenmätteli,46.94546908057998,7.449848247041476,Gastropub,4b5a119ff964a52054ab28e3
78,"3001, Bern",46.946999999999996,7.4404,Gourmanderie Moléson,46.94950966740333,7.443062090518997,French Restaurant,4bfd4ccbe529c9284eb1ba8c
79,"3001, Bern",46.946999999999996,7.4404,Restaurant Dampfzentrale,46.94046850378537,7.444344431372649,Swiss Restaurant,4c9b444e553cef3b127fda77
80,"3001, Bern",46.946999999999996,7.4404,RBS Bern,46.94890417092899,7.4401300409070465,Train Station,4bc6c1bcbf29c9b6734dfa2a
81,"3001, Bern",46.946999999999996,7.4404,Helvetiaplatz,46.9437607210604,7.449648153274611,Plaza,4ed9078661af8a14b49e9e9e
82,"3001, Bern",46.946999999999996,7.4404,Das Lehrerzimmer,46.9500672299294,7.443611869854473,Café,4dc30da045dd264552344855
83,"3001, Bern",46.946999999999996,7.4404,Waisenhausplatz,46.948754901109915,7.443887892850153,Plaza,4c21f1649390c9b6e4aec9cd
84,"3001, Bern",46.946999999999996,7.4404,Starbucks,46.94884309797072,7.443999469560908,Coffee Shop,4b7687ddf964a520b4502ee3
85,"3001, Bern",46.946999999999996,7.4404,Bernisches Historisches Museum,46.94333657103703,7.449247761880025,History Museum,4be277911dd22d7f7f3094bd
86,"3001, Bern",46.946999999999996,7.4404,Dachstock,46.952779213247396,7.440610076122225,Event Space,4be47b08bcef2d7f9e9d02e5
87,"3001, Bern",46.946999999999996,7.4404,O'Bolles,46.951636350100564,7.441269680218583,Restaurant,4b4b5c53f964a520b19826e3
88,"3001, Bern",46.946999999999996,7.4404,Münsterplattform,46.94683345082604,7.452286425071624,Park,4bfa81b85ec320a1ffb38bd3
89,"3001, Bern",46.946999999999996,7.4404,Locanda Tre Fratelli,46.9472827853841,7.434866456953385,Pizza Place,4b5c8e05f964a520513629e3
90,"3001, Bern",46.946999999999996,7.4404,Summer Beach,46.949530808798265,7.437768389296193,Bar,4fc8f275e4b07277ab7e1a60
91,"3001, Bern",46.946999999999996,7.4404,Sushi Bar Yamasaki,46.947796,7.448532,Sushi Restaurant,4d527c109ffc236abd7a2da7
92,"3001, Bern",46.946999999999996,7.4404,Kapitel,46.95187279974609,7.441641016936795,Bar,4ede6f0529c2b9122d2333dc
93,"3001, Bern",46.946999999999996,7.4404,Berner Münster,46.947310011440855,7.450777581936907,Church,4ca8a39f76d3a09390a4176b
94,"3001, Bern",46.946999999999996,7.4404,Aarbergerhof,46.949653751992585,7.4424272078219404,Gastropub,4b583421f964a520e54d28e3
95,"3001, Bern",46.946999999999996,7.4404,Sous Le Pont,46.95276538991247,7.440699837426041,Restaurant,4d983e53942ba09318a2808c
96,"3001, Bern",46.946999999999996,7.4404,Confiserie Eichenberger,46.94799679350952,7.449538102372646,Bakery,4baf3097f964a52000f03be3
97,"3001, Bern",46.946999999999996,7.4404,Stadttheater Bern,46.94919746196055,7.447362423426798,Theater,4bf80db7b182c9b637bb765a
98,"3001, Bern",46.946999999999996,7.4404,Restaurant Kirchenfeld,46.94361147422377,7.450246910279915,Restaurant,4b598213f964a520918a28e3
99,"3001, Bern",46.946999999999996,7.4404,WonderWaffel,46.947367,7.435564,Creperie,5813377638fa48308944a73b
100,"3001, Bern",46.946999999999996,7.4404,Einstein au jardin,46.94662318621841,7.4522719349654905,Café,55547b0f498e5c0f5ee7fdb6
101,"3001, Bern",46.946999999999996,7.4404,Volver,46.948530913587916,7.452215134152472,Tapas Restaurant,4b71e235f964a52015622de3
102,"3001, Bern",46.946999999999996,7.4404,Le Ciel,46.95164698602536,7.4411970523935205,Music Venue,4e6a0ab1c65b5bef283354f8
103,"3001, Bern",46.946999999999996,7.4404,BONBEC,46.94852932480592,7.450673731546618,Café,509e379be4b0f56d60c29393
104,"3001, Bern",46.946999999999996,7.4404,Münsterplatz,46.94741668463769,7.450635602819019,Plaza,4c9f1308d3c2b60cc674d1bc
105,"3001, Bern",46.946999999999996,7.4404,Bernmobil Zytglogge,46.948400815994255,7.447544569104043,Tram Station,4e38619e8130e54b830a030e
106,"3001, Bern",46.946999999999996,7.4404,Einsteinmuseum,46.94329251573088,7.449245023909047,Science Museum,4fd49753e4b03121ce7823b6
107,"3001, Bern",46.946999999999996,7.4404,Gelateria di Berna,46.954670406305006,7.433548922487711,Ice Cream Shop,4c88c49b94f5a093cd19d21e
108,"3001, Bern",46.946999999999996,7.4404,Metzgerstübli,46.94746933525092,7.449054190538268,Swiss Restaurant,4c9b3865553cef3b7d3bda77
109,"3001, Bern",46.946999999999996,7.4404,ISC Club,46.95342492988899,7.440016584815776,Rock Club,4bf971b9b182c9b6c0f0785a
110,"3001, Bern",46.946999999999996,7.4404,Bowlingcenter Marzili,46.94016765872681,7.440960524923436,Bowling Alley,4ba93dc0f964a5205e173ae3
111,"3001, Bern",46.946999999999996,7.4404,Museum für Kommunikation,46.941992842824746,7.450274071021459,Science Museum,4ba3c1e5f964a520fe5b38e3
112,"3004, Bern",46.9805,7.452000000000001,Zehendermätteli,46.97961977872993,7.444456965120526,Restaurant,4c5be9d26147be9a00c18d09
113,"3004, Bern",46.9805,7.452000000000001,Restaurant Tiefenau,46.97974050433051,7.457858171402861,Swiss Restaurant,4b5d7b69f964a520715e29e3
114,"3004, Bern",46.9805,7.452000000000001,Lindenpark,46.98027582802438,7.459238434061888,Park,4b5d6cd4f964a520a35c29e3
115,"3004, Bern",46.9805,7.452000000000001,RBS Worblaufen,46.978839624308144,7.457621991634369,Train Station,4bfb9cbbbbb7c9286f4e0843
116,"3004, Bern",46.9805,7.452000000000001,Aperto,46.97894248734312,7.457871418153295,Snack Place,4f686d54e4b09652f87a3078
117,"3004, Bern",46.9805,7.452000000000001,Cafeteria Lindenpark,46.980317,7.459334,Coffee Shop,4d356c40b60937044e8e14e0
118,"3004, Bern",46.9805,7.452000000000001,RBS Tiefenau,46.973489384875315,7.451391929895678,Train Station,50e99286e4b0b7b971358584
121,"3005, Bern",46.9394,7.4499,Tierpark Dählhölzli,46.9353268137253,7.450178861618043,Zoo,4bc088352a89ef3bb99df088
125,"3005, Bern",46.9394,7.4499,Naturhistorisches Museum,46.94205548848367,7.448653982426308,Science Museum,4ca58ce1965c9c744881c7fa
130,"3005, Bern",46.9394,7.4499,Steinhalle,46.94309413433075,7.448660731315613,Swiss Restaurant,4be5b095910020a19652d314
132,"3005, Bern",46.9394,7.4499,Eichholz,46.93347332873887,7.455489635467529,Campground,4c09055b6071a593991edd32
147,"3005, Bern",46.9394,7.4499,Cinématte,46.946586989763375,7.457254337263492,Bar,4bf5717d6a31d13a08e5962e
152,"3005, Bern",46.9394,7.4499,Vatter Royal,46.94250832970869,7.4530481884657505,Café,4da697a61e725f1229711ba3
153,"3005, Bern",46.9394,7.4499,Apps with love GmbH,46.93496809576044,7.441001523693196,IT Services,535e1fd7498ef7f24863adfc
155,"3005, Bern",46.9394,7.4499,Dampfzentrale Bern,46.940631595902204,7.444053975182117,Concert Hall,4b6dd872f964a5201e952ce3
156,"3005, Bern",46.9394,7.4499,Café Marta,46.948001242213714,7.451921653949805,Bar,518ea9d1498ea15b0d12ddb2
158,"3005, Bern",46.9394,7.4499,Hollyfood,46.948008178182185,7.4504895925877435,Sandwich Place,4bd01f7ca8b3a593044f635f
159,"3005, Bern",46.9394,7.4499,Migros,46.94238893196707,7.453109926772091,Grocery Store,4cbf178d00d837046fbb415c
160,"3005, Bern",46.9394,7.4499,Hotel Ambassador & Spa,46.93424666195964,7.440143641770514,Hotel,4c0d6c222466a593688e7721
161,"3005, Bern",46.9394,7.4499,Fischerstübli,46.94719540243783,7.45625735567505,Seafood Restaurant,4bcf1b09fb84c9b67ece243e
162,"3005, Bern",46.9394,7.4499,Restaurant Dählhölzli,46.93369886630378,7.4487503818889875,Swiss Restaurant,4bdd97dff4a9a59387a7308b
163,"3005, Bern",46.9394,7.4499,Coop,46.93955432187333,7.437213998406164,Supermarket,4b4f7d43f964a520a00827e3
164,"3005, Bern",46.9394,7.4499,Bernmobil KaWeDe,46.936410555227155,7.447799295389332,Bus Station,4e919b239a52db7dbab105ee
165,"3005, Bern",46.9394,7.4499,KaWeDe,46.93638208972711,7.447810273958012,Hockey Field,4cc8442d3c40a35d33b8732e
166,"3005, Bern",46.9394,7.4499,Brasil Grill - Churrascaria Bern,46.940312214605164,7.455818776257503,Brazilian Restaurant,4d91ebd49d0f721e32ef2073
167,"3005, Bern",46.9394,7.4499,Gaskessel,46.93819116434173,7.442207336425781,Music Venue,4d8ec313fa94370402b20bc6
