,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels,Latitude,Longitude
59,"4055, Basel",Tram Station,Supermarket,Grocery Store,Restaurant,Bus Stop,Bus Station,Italian Restaurant,Pool,Bakery,Park,3,47.5637,7.564
60,"4056, Basel",Tram Station,Gym,Supermarket,Italian Restaurant,Bakery,Hotel,Bar,Motel,Sushi Restaurant,Concert Hall,6,47.5696,7.5734
61,"4057, Basel",Coffee Shop,Park,Clothing Store,Supermarket,Swiss Restaurant,Grocery Store,Gaming Cafe,Fast Food Restaurant,Discount Store,Recycling Facility,6,47.5761,7.5999
62,"4058, Basel",Soccer Field,Art Museum,Supermarket,Bus Stop,Grocery Store,Gym,Italian Restaurant,Tram Station,Café,Skating Rink,6,47.5677,7.6135
63,"4059, Basel",Swiss Restaurant,Zoo,Event Space,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,Factory,2,47.5316,7.5934
64,"4065, Basel",Swiss Restaurant,Park,Hostel,Tram Station,Moving Target,Bathing Area,Supermarket,Beach,Lounge,Hotel,2,47.5617,7.6067
65,"6000, Luzern",Train Station,Restaurant,Hotel,Pizza Place,Flower Shop,Lounge,Supermarket,Grocery Store,Gym,Food,6,47.0833,8.2667
66,"6002, Luzern",Swiss Restaurant,Italian Restaurant,Plaza,Café,Music Venue,Thai Restaurant,Restaurant,Supermarket,Bar,Hotel,6,47.0596,8.306000000000001
67,"6003, Luzern",Hotel,Café,Swiss Restaurant,Asian Restaurant,Bar,Mexican Restaurant,Burger Joint,Italian Restaurant,Nightclub,Cocktail Bar,6,47.0501,8.297
68,"6004, Luzern",Swiss Restaurant,Thai Restaurant,Asian Restaurant,Gas Station,Bus Station,Supermarket,Stadium,Factory,Event Space,Ethiopian Restaurant,2,47.0603,8.2986
69,"6005, Luzern",Supermarket,Bus Stop,Grocery Store,Bar,Food,Hockey Arena,Shopping Mall,Food Truck,Mediterranean Restaurant,Zoo,3,47.0342,8.3178
70,"6006, Luzern",Hotel,Park,Gym,Food & Drink Shop,Science Museum,Boat or Ferry,Bus Stop,Movie Theater,Beach,Campground,6,47.0585,8.3337
71,"6876, Lugano",Italian Restaurant,Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,0,45.9821,8.9936
72,"6901, Lugano",Italian Restaurant,Hotel,Café,Restaurant,Plaza,Art Museum,Swiss Restaurant,Bar,Pizza Place,Beach,6,46.0003,8.9512
73,"6902, Lugano",Hotel,Supermarket,Italian Restaurant,Snack Place,Bar,Athletics & Sports,Lounge,Beach,Café,Gastropub,6,46.0117,8.9575
74,"6903, Lugano",Diner,Gym,Platform,Café,Spa,College Arts Building,Swiss Restaurant,Chinese Restaurant,Italian Restaurant,Grocery Store,6,46.0058,8.9475
75,"6910, Lugano",Supermarket,Bed & Breakfast,Café,Gas Station,Food Court,Motel,Gym,Department Store,Ethiopian Restaurant,Eastern European Restaurant,1,46.0238,8.9393
76,"6912, Lugano",Hotel,Swiss Restaurant,Italian Restaurant,Food,Mountain,Lighthouse,Scenic Lookout,Nightclub,Fast Food Restaurant,Cocktail Bar,0,45.9798,8.9447
77,"6913, Lugano",Electronics Store,Café,Shopping Mall,Supermarket,Gym,Mobile Phone Shop,Restaurant,Scandinavian Restaurant,Rental Service,Furniture / Home Store,6,45.9701,8.9334
78,"6915, Lugano",Pizza Place,Soccer Field,Sporting Goods Shop,Swiss Restaurant,Gym,Italian Restaurant,Bar,Gas Station,Indian Restaurant,Falafel Restaurant,6,45.9845,8.9276
79,"6917, Lugano",Electronics Store,Hotel,Resort,Ethiopian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,English Restaurant,Event Space,7,45.9611,8.9165
